"ko","outdegree","n_sig","all_inside","frac_targets_sig","network","col"
"CDK19",778,3,TRUE,0.0025706940874036,"MS microglia, control net","#1f6fb4"
"CDK6",722,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CDKAL1",699,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CELF1",762,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CELF2",783,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CEP170",623,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CEP350",656,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CERT1",736,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CFLAR",740,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CHD1",736,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CHD2",623,2,TRUE,0.00160513643659711,"MS microglia, control net","#1f6fb4"
"CHD7",566,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CHD9",727,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CHST11",790,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CHST15",743,2,TRUE,0.00134589502018843,"MS microglia, control net","#1f6fb4"
"CHSY1",785,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CHSY3",763,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CIITA",654,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CLASP1",745,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CLASP2",782,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CMIP",757,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CMSS1",630,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CNOT2",735,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"COG5",661,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"COMMD10",575,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"COP1",717,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CPEB3",75,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CPEB4",780,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CPED1",749,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CPM",667,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CPQ",705,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CPVL",747,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CR1",754,2,TRUE,0.0013262599469496,"MS microglia, control net","#1f6fb4"
"CRADD",762,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CSF1R",754,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CSF2RA",762,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CSGALNACT1",769,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CSNK1A1",734,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CTBP2",728,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CTNNB1",742,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CTNND1",620,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CTSB",778,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CTSD",778,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CTTNBP2",741,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CUX1",750,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CX3CR1",783,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CYBB",524,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CYFIP1",788,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CYTH1",688,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DCAF6",601,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DDX17",775,2,TRUE,0.00129032258064516,"MS microglia, control net","#1f6fb4"
"DDX5",752,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DENND1A",705,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DENND3",771,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DENND4A",641,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DENND4C",715,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DIAPH2",543,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DIP2B",763,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DIRC3",764,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DISC1",754,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DISP1",752,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DLEU1",770,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DLEU2",765,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DLG1",783,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DLG2",770,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DMXL2",663,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DOCK10",779,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DOCK11",687,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DOCK2",663,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DOCK4",785,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DOCK5",783,2,TRUE,0.00127713920817369,"MS microglia, control net","#1f6fb4"
"DOCK8",641,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DPYD",771,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DSCAM",748,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DST",787,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DTNA",766,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DTNB",724,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"DYM",496,3,TRUE,0.00403225806451613,"MS microglia, control net","#1f6fb4"
"DYRK1A",733,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"EDA",652,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"EEF1A1",762,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"EIF4G3",776,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ELF1",692,2,TRUE,0.00144508670520231,"MS microglia, control net","#1f6fb4"
"ELF2",416,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ELL2",786,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ELMO1",770,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"EML4",773,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ENTPD1",600,1,TRUE,0,"MS microglia, control net","#1f6fb4"
